sub_study,signal,position,mean,median,p90,max,total_nonzero_records,total_records,zero_rate,distinct_gks_with_any_save,G-EDA8-06,saves_zero_rate_gkp,rho_full,ci_lower,ci_upper,ci_excludes_zero,block_stability_count,G-EDA8-01,G-EDA8-02,G-EDA8-03,G-EDA8-04,partial_rho_xgc_vs_goals_conceded,partial_rho_xgc_vs_clean_sheets,G-EDA8-05,gate,decision,rho,raw_rho,naive_rho
EDA-8C,penalties_saved,GKP,0.0032,0.0,0.0,1.0,8.0,2512.0,0.9968,6.0,structurally-sparse,,,,,,,,,,,,,,,,,,
EDA-8A,saves,GKP,,,,,,,,,,0.7934,-0.0289,-0.1099,0.0518,False,0.0,uninformative,ineligible,,,,,,,,,,
EDA-8B,xgc,DEF,,,,,,,,,,,-0.0371,-0.0787,0.0046,False,2.0,,,uninformative,,,,,,,,,
EDA-8B,xgc,GKP,,,,,,,,,,,-0.1141,-0.1948,-0.0312,True,1.0,,,,informative,,,,,,,,
EDA-8B,,GKP,,,,,,,,,,,,,,,,,,,,-0.0862,-0.0979,redundant,,,,,
EDA-8D,assists_roll3,MID,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-07,no-improvement,0.0509,0.0423,0.1402
EDA-8D,assists_roll3,FWD,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-08,no-improvement,0.071,0.0325,0.1173
EDA-8D,assists_roll3,DEF,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-09,no-improvement,0.0019,0.031,0.096
EDA-8D,assists_preferred_window,MID,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-10-MID,raw,,,
EDA-8D,assists_preferred_window,FWD,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-10-FWD,raw,,,
EDA-8D,assists_preferred_window,DEF,,,,,,,,,,,,,,,,,,,,,,,G-EDA8-10-DEF,raw,,,
